variable_name,label
record_id,Study ID
attempt_id,ATTEMPT ID
casper_id,CASPER ID
coffee_id,COFFEE ID
croc_id,CROCODILE ID
improve_id,IMPROVE ID
penguin_id,PENGUIN ID
rh_id,RENAL-HEIR ID
rh2_id,RENAL-HEIRitage ID
panther_id,PANTHER ID
panda_id,PANDA ID
rpc2_id,RPC2 ID
swht_id,SWEETHEART ID
ultra_id,ULTRA ID
co_enroll_id,Study Name (if co-enrolled)
date,Date
screen_date,Date of Screen
study,Study Name
dob,Date of Birth
diabetes_dx_date,Diabetes Diagnosed Date
sex,Sex
race,Race
ethnicity,Ethnicity
visit,Study Visit
procedure,Procedure
group,Group
ab40_avg_conc,Ab40 Average Concentration (pg/mL)
ab42_avg_conc,Ab42 Average Concentration (pg/mL)
abd_elasto,Abdominal MRI: Mean Hepatic Stiffness
abd_fat_frac,Abdominal MRI: Mean Hepatic Fat Fraction (%)
abd_mean_t2,Abdominal MRI: Mean T2
abd_stiffness_sd,Abdominal MRI: Mean Heptic Stiffness SD
abo,ABO
abo_rh,Rh
abs_basophil,Absolute Basophil Count: (K/uL)
abs_egc,Absolute Early Granulocyte Count: (K/uL)
abs_eosin,Absolute Eosinophil Count: (K/uL)
abs_lymph,Absolute Lymphocyte Count: (K/uL)
abs_monocyte,Absolute Monocyte Count: (K/uL)
abs_neut,Absolute Neutrophil Count: (K/uL)
ac107,acyl-C5-OH (hydroxyisovalerylcarnitine)
ac109,acyl-C6-DC
ac111,octenoyl-l-carnitine (acyl-C8:1)
ac123,acyl-C18:2-OH
ac124,acyl-C20
ac125,acyl-C20:4
acan,Acanthosis Nigricans
acan_sev,Acanthosis Nigricans Severity
acca_2_0,AcCa(2:0)
acca_3_0,AcCa(3:0)
acca_4_0,AcCa(4:0)
acca_8_0_h,AcCa(8:0)+H
acca_10_0_h,AcCa(10:0)+H
acca_10_1_h,AcCa(10:1)+H
acca_12_0_h,AcCa(12:0)+H
acca_12_1_h,AcCa(12:1)+H
acca_14_1_h,AcCa(14:1)+H
acca_14_2_h,AcCa(14:2)+H
acca_16_0,AcCa(16:0)
acca_16_0_h,AcCa(16:0)+H
acca_18_0_h,AcCa(18:0)+H
acca_18_1,AcCa(18:1)
acca_18_1_h,AcCa(18:1)+H
acca_18_2_h,AcCa(18:2)+H
acca_24_0_h,AcCa(24:0)+H
acca_26_0,AcCa(26:0)
acca_26_8,AcCa(26:8)
ace_inhibitor,ACE Inhibitor
achexsie_20_1,AcHexSiE (20:1)
aconitic_acid_tissue,Aconitic acid
acpr,ACPR
acpr_max,ACPR max
acprg,Acute C-peptide response to glucose
acr_u,Urine Albumin-Creatinine Ratio (mg/g)
